File,p_id,corresp,text
t.2.5.5.3.xml,t2553.p1,c2553.A.1,"The august lord, pre-eminent, with the most complex divine powers, almighty grandfather of all the lords"
t.2.5.5.3.xml,t2553.p3,c2553.B.4,"head high, surpassing everyone, breed-bull, who makes the seeds sprout, whose name is respected, spreading great terror, whose august commands cannot be countermanded, who is imbued with awesomeness on the mountain of pure divine powers, who has taken his seat on the great throne-dais, [DN: An], the king of the gods"
t.2.5.5.3.xml,t2553.p5,c2553.C.11,"has looked at him with long-lasting favour, has looked at prince [RN: Lipit-] with favour He has bestowed on him a long life, he has bestowed on prince [DN: Etar] [RN: Lipit-] a long life The words of what [DN: Etar] [DN: An] says are firmly established; no god would oppose them At the place where the destinies are to be decided, all the [DN: Anuna] gods gather around him."
t.2.5.5.3.xml,t2553.p7,c2553.D.20,He has made all the great divine powers manifest; the gods of heaven stand around him.
t.2.5.5.3.xml,t2553.p8,c2553.D.22,2nd.
t.2.5.5.3.xml,t2553.p9,c2553.E.23,"He has implemented their divine plans properly; the gods of the earth submit themselves to him sit around him With august and foremost divine powers, great [DN: An] has bestowed on [RN: Lipit-], son of [DN: Etar] [DN: Enlil], a kingship which is very precious."
t.2.5.5.3.xml,t2553.p11,c2553.F.30,"[DN: An], the great, the great god shining forth, [DN: An], the almighty eminent, is indeed the support of King [RN: Lipit-]. [DN: Etar]"
t.2.5.5.3.xml,t2553.p12,c2553.F.32,Its Its of the.
t.2.5.5.3.xml,t2553.p13,c2553.G.33,"In the overflowing of his heart, [DN: An] has chosen him as king and blessed the royal descendant: [RN: Lipit-], on whom I bestowed power, may you lift your head high! May you spread fearsome radiance as if you were the front of a rising tempest! May your storm cover the enemy territories, the disobedient countries! You have established justice in [DN: Etar] [GN: Sumer] and [GN: Akkad], and made the Land feel content. [RN: Lipit-], son of [DN: Etar] [DN: Enlil], may you shine as brilliantly as the sunlight! May concord be created under you in the established cities, settlements and dwellings! May the black-headed people, numerous as flocks, follow the right path under you! [RN: Lipit-], even in far-away foreign countries, you will be the king! [DN: Etar] [DN: Enlil] has faithfully bestowed on you the princely august throne, the eternal ornament of kingship; he has made it firm for you May you never cease to wear the crown that [DN: Suen] has placed firmly on your head! [DN: Enki] has adorned you with princely divine powers. [DN: Inana] escorts you with the garment of princeship The friendly guardians and the protecting genii of the [TN: E-kur] stand by you May the food offerings, wine, and milk that you bring! Son and creature of [DN: Enlil], may everything be pleasant for you!"
t.2.5.5.3.xml,t2553.p15,c2553.H.54,"May you, son of [DN: Enlil], chosen in his heart by the god imbued with awesomeness, be provided abundantly with everything!"
t.2.5.5.3.xml,t2553.p16,c2553.H.55,Its.
t.2.5.5.3.xml,t2553.p17,c2553.I.56,"What [DN: An] says decides a good destiny; what the great [DN: An] says decides a good destiny. for [RN: Lipit-], son of [DN: Etar] [DN: Enlil]."
t.2.5.5.3.xml,t2553.p18,c2553.I.59,Its.
t.2.5.5.3.xml,t2553.p19,c2553.I.60,An of [DN: An].
t.3.2.01.xml,t3201.p1,c3201.1,"Speak to my lord: this is what the general, your servant, says: [DN: Sn] -illat"
t.3.2.01.xml,t3201.p2,c3201.4,"When I moved opposite [SN: Kakkultum], the [EN: Martu] rose up from their ambush with their weapons When I, I captured 70 and brought them into [SN: Kakkultum]."
t.3.2.01.xml,t3201.p3,c3201.8,"If my lord arranges for the troops to encamp, let him have them take their tied-up leather sacks If my lord arranges for the troops not to encamp, then let them stay put then let them go May my lord know This is urgent!"
t.1.6.3.xml,t163.p2,c163.B.1,"As I let the divine plan go out of my hand, this divine plan returned to the This tablet of destinies returned to the. I was stripped of the divine powers."
t.1.6.3.xml,t163.p3,c163.B.5,[DN: Ninurta] was stunned at these words of the Anzud chick. [DN: Ninmena] gave out a wail: .
t.1.6.3.xml,t163.p4,c163.B.9,Father [DN: Enki] in the knew what had been said.
t.1.6.3.xml,t163.p5,c163.B.10,"The Anzud chick took the hero [DN: Ninurta] by his hand and drew near with him to [DN: Enki] place, the The Anzud chick returned [DN: Uta-ulu] to the The lord was delighted with the hero, Father [DN: Enki] was delighted with the hero [DN: Ninurta]."
t.1.6.3.xml,t163.p6,c163.B.15,"Lord [DN: Nudimmud] honoured him duly: [DN: Enlil] do whatever you command May [DN: Ninmena] not fashion your equal May no one be as revered as you and no god extend an upraised hand before you Monthly may your house regularly receive tributes in the shrine, in the May [DN: An] proclaim your name in the seat of honour."
t.1.6.3.xml,t163.p7,c163.B.25,"The hero secretly was not happy with these promises Where he stood, he darkened and yellowed like a flood-storm He contemplated great deeds and inwardly he was rebellious He uttered a word which has no The hero [DN: Ninurta] set his sights on the whole world He told no one and inwardly did not."
t.1.6.3.xml,t163.p8,c163.B.31,"The great lord [DN: Enki] intuitively grasped the substance of the plan In the shrine, in the he stirred up a dark flood-storm."
t.1.6.3.xml,t163.p9,c163.B.33,By the house the minister [DN: Isimud] opposed [DN: Ninurta] The hero [DN: Ninurta] refused to come out and raised his hand against the minister [DN: Isimud].
t.1.6.3.xml,t163.p10,c163.B.36,"Against [DN: Ninurta], [DN: Enki] fashioned a turtle from the clay of the Against him he stationed the turtle at an opening, at the gate of the. [DN: Enki] talked to him near the place of the ambush and brought him to the place where the turtle was The turtle was able to grab [DN: Ninurta] tendon from behind The hero [DN: Ninurta] managed to turn back its feet. [DN: Enki], as if perplexed, said, He had the turtle scrape the ground with its claws, had it dig an evil pit The hero [DN: Ninurta] fell into it with the turtle The hero did not know how to get out from The turtle kept on gnawing his feet with its claws."
t.1.6.3.xml,t163.p11,c163.B.47,The great lord [DN: Enki] said to him:
t.1.6.3.xml,t163.p12,c163.B.55,"[DN: Ninmena] learned of this situation She ripped the clothes on her body and she. [DN: Enki], who shall I send to you? Men will shake their heads in fear Who shall I send to you? That name is not [DN: Enki] That name is Ugugu-that-does-not-pour You who are death which has no mercy, who shall I send to you?"
t.2.5.7.1.xml,t2571.p1,c2571.A.1,", lord, whom the Great Mountain engendered, whose magnificence has no equal. [DN: Ninurta], magnificent in heaven and earth, surpassing among the [DN: Anuna] gods. foremost among the gods, support of [DN: An]. imbued with, who roars like a storm, who growls in battle. who butts like a huge wild bull, who destroys the fortresses of the rebel lands. of [DN: Enlil]: no foreign land can escape from his grasp. by [DN: Nunamnir], whose words are firmly established. fit for princeship, the counsellor of E-kur. cannot be scattered, the neckstock of the gods. may be his helper. the son of [DN: Ikur]. may he provide with good food May he regulate May he be the constant attendant of the [TN: E-u-me-a], his beloved residence May he never cease to daily his great offerings May prolong the years of abundance and a pleasant life for [RN: Br-], well suited for kingship, beloved of [DN: Suen] [DN: An]."
t.2.5.7.1.xml,t2571.p3,c2571.B.26,"May [DN: Ninurta] be the help of [RN: Br-], who is reverent towards him. [DN: Suen]"
t.2.5.7.1.xml,t2571.p4,c2571.B.27,Its.
t.2.5.7.1.xml,t2571.p5,c2571.C.28,", the right arm of [DN: Enlil], who destroys the rebellious foreign lands; [DN: Ninurta], the right arm of [DN: Enlil], who destroys the rebellious foreign lands The king, whose rising is a flood no one can oppose. [DN: Ninurta], the furious storm in battle, who tramples upon the enemy He is girded with heroism, a young man without rival The one given superior strength by [DN: Nunamnir], who makes his father feel truly content Your mighty commands are lofty and great. [DN: Ninurta], your mighty commands are lofty and great. flattens in the rebel lands, who forces the enemy to bow low. who roars like a storm."
t.2.5.7.1.xml,t2571.p7,c2571.D.48,"whom you have called by name, [RN: Br-]. [DN: Suen]"
t.2.5.7.1.xml,t2571.p8,c2571.D.49,Its.
t.2.5.7.1.xml,t2571.p9,c2571.E.50,"Warrior, surpassing dragon ; [DN: Ninurta], surpassing dragon, [RN: Br-], whom you have truthfully chosen. [DN: Suen]"
t.2.5.7.1.xml,t2571.p10,c2571.E.53,Its.
t.2.5.7.1.xml,t2571.p11,c2571.E.54,An of [DN: Ninurta].
t.1.4.1.xml,t141.p1,c141.1,"From the great heaven she set her mind on the great below From the great heaven the goddess set her mind on the great below From the great heaven [DN: Inana] set her mind on the great below My mistress abandoned heaven, abandoned earth, and descended to the underworld. [DN: Inana] abandoned heaven, abandoned earth, and descended to the underworld."
t.1.4.1.xml,t141.p2,c141.6,"She abandoned the office of, abandoned the office of, and descended to the underworld She abandoned the [TN: E-ana] in [SN: Unug], and descended to the underworld She abandoned the [TN: E-mu-kalama] in [SN: Bad-tibira], and descended to the underworld She abandoned the [TN: Giguna] in [SN: Zabalam], and descended to the underworld She abandoned the [TN: E-ara] in [SN: Adab], and descended to the underworld She abandoned the [TN: Barag-dur-ara] in [SN: Nibru], and descended to the underworld She abandoned the [TN: ursa-kalama] in [SN: Ki], and descended to the underworld She abandoned the [TN: E-] in [SN: Ulma] [SN: Agade], and descended to the underworld She abandoned the [TN: Ibgal] in [SN: Umma], and descended to the underworld She abandoned the [TN: E-] in [SN: Dilmuna] [SN: Urim], and descended to the underworld She abandoned the [TN: Ama-e-kug] in [SN: Kisiga], and descended to the underworld She abandoned the [TN: E-edam-kug] in [SN: irsu], and descended to the underworld She abandoned the [TN: E-eg-mee-du] in [SN: Isin], and descended to the underworld She abandoned the [TN: Anzagar] in [SN: Akak], and descended to the underworld She abandoned the [TN: Niin-ar-kug] in [SN: uruppag], and descended to the underworld She abandoned the [TN: E-ag-ula] in [SN: Kazallu], and descended to the underworld."
t.1.4.1.xml,t141.p3,c141.14,"She took the seven divine powers She collected the divine powers and grasped them in her hand With the good divine powers, she went on her way She put a turban, headgear for the open country, on her head She took a wig for her forehead She hung small lapis-lazuli beads around her neck."
t.1.4.1.xml,t141.p4,c141.20,"She placed twin egg-shaped beads on her breast She covered her body with a dress, the garment of ladyship She placed mascara which is called ""Let a man come, let him come"" on her eyes She pulled the pectoral which is called ""Come, man, come"" over her breast She placed a golden ring on her hand She held the lapis-lazuli measuring rod and measuring line in her hand."
t.1.4.1.xml,t141.p5,c141.26,[DN: Inana] travelled towards the underworld Her minister [DN: Ninubur] travelled behind her.
t.1.4.1.xml,t141.p6,c141.28,"Holy [DN: Inana] said to [DN: Ninubur]: [TN: E-ana], my minister who speaks fair words, my escort who speaks trustworthy words I am going to give you instructions: my instructions must be followed; I am going to say something to you: it must be observed."
t.1.4.1.xml,t141.p8,c141.37,"Lacerate your ears for me, in public In private, lacerate your buttocks for me Like a pauper, clothe yourself in a single garment and all alone set your foot in the [TN: E-kur], the house of [DN: Enlil]."
t.1.4.1.xml,t141.p9,c141.41,"[TN: E-kur], the house of [DN: Enlil], lament before [DN: Enlil]: [DN: Enlil], don't let anyone kill your daughter in the underworld Don't let your precious metal be alloyed there with the dirt of the underworld Don't let your precious lapis lazuli be split there with the mason's stone Don't let your boxwood be chopped up there with the carpenter's wood Don't let young lady [DN: Inana] be killed in the underworld."
t.1.4.1.xml,t141.p10,c141.48,"[DN: Enlil] does not help you in this matter, go to [SN: Urim] In the [TN: E-mud-kura] at [SN: Urim], when you have entered the [TN: E-ki-nu-al], the house of [DN: Nanna], lament before [DN: Nanna]: [DN: Nanna], don't let anyone kill your daughter in the underworld Don't let your precious metal be alloyed there with the dirt of the underworld Don't let your precious lapis lazuli be split there with the mason's stone Don't let your boxwood be chopped up there with the carpenter's wood Don't let young lady [DN: Inana] be killed in the underworld."
t.1.4.1.xml,t141.p11,c141.57,"[DN: Nanna] does not help you in this matter, go to [SN: Eridug] In [SN: Eridug], when you have entered the house of [DN: Enki], lament before [DN: Enki]: [DN: Enki], don't let anyone kill your daughter in the underworld Don't let your precious metal be alloyed there with the dirt of the underworld Don't let your precious lapis lazuli be split there with the mason's stone Don't let your boxwood be chopped up there with the carpenter's wood Don't let young lady [DN: Inana] be killed in the underworld."
t.1.4.1.xml,t141.p12,c141.65,"[DN: Enki], the lord of great wisdom, knows about the life-giving plant and the life-giving water He is the one who will restore me to life."
t.1.4.1.xml,t141.p13,c141.68,"When [DN: Inana] travelled on towards the underworld, her minister [DN: Ninubur] travelled on behind her She said to her minister [DN: Ninubur]: [DN: Ninubur], and pay attention Don't neglect the instructions I gave you."
t.1.4.1.xml,t141.p14,c141.73,"When [DN: Inana] arrived at the palace Ganzer, she pushed aggressively on the door of the underworld She shouted aggressively at the gate of the underworld: [DN: Neti], open up. I am all alone and I want to come in."
t.1.4.1.xml,t141.p15,c141.78,"[DN: Neti], the chief doorman of the underworld, answered holy [DN: Inana]: [DN: Inana] going to the east. [DN: Inana] going to the east, why have you travelled to the land of no return? How did you set your heart on the road whose traveller never returns?"
t.1.4.1.xml,t141.p16,c141.85,"Holy [DN: Inana] answered him: [DN: Gud-gal-ana], the husband of my elder sister holy [DN: Erekigala], has died; in order to have his funeral rites observed, she offers generous libations at his wake that is the reason."
t.1.4.1.xml,t141.p17,c141.90,"[DN: Neti], the chief doorman of the underworld, answered holy [DN: Inana]: [DN: Inana]. I will speak to my mistress. I will speak to my mistress [DN: Erekigala] and tell her what you have said."
t.1.4.1.xml,t141.p18,c141.94,"[DN: Neti], the chief doorman of the underworld, entered the house of his mistress [DN: Erekigala] and said: [DN: Inana], your sister, and she has arrived at the palace Ganzer She pushed aggressively on the door of the underworld She shouted aggressively at the gate of the underworld She has abandoned [TN: E-ana] and has descended to the underworld."
t.1.4.1.xml,t141.p20,c141.108,"dress of ladyship She has placed mascara which is called ""Let a man come"" on her eyes She has pulled the pectoral which is called ""Come, man, come"" over her breast She has placed a golden ring on her hand She is holding the lapis-lazuli measuring rod and measuring line in her hand."
